GENENAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ER.ERR1084763	ER.ERR1084764	ER.ERR1084765	ER.ERR1084775	ER.ERR1084805	ER.ERR1084806	ER.ERR1084811	TN.ERR1084766	TN.ERR1084768	TN.ERR1084798	TN.ERR1084799	TN.ERR1084800	TN.ERR1084801	TN.ERR1084802	SYMBOL	GENENAME.1
ENSG00000103546	41.9143288976468	5.74582078549223	1.71453233990002	3.35124666463117	0.000804486092754878	0.00580034472876267	0	0	0	0	11	0	2	0	216	137	25	14	339	0	SLC6A2	solute carrier family 6 member 2 
ENSG00000105996	51.8340530802767	8.69966703028019	1.74485098574202	4.98590831043406	6.16713881404874e-07	1.93326394996919e-05	0	0	0	1	0	0	0	135	295	37	4	51	1	0	HOXA2	homeobox A2 
ENSG00000106004	112.182771477943	6.89173053968883	2.17858469184796	3.163398037945	0.00155938964940932	0.00929190030763733	0	0	0	1	16	0	0	91	1229	91	0	151	0	0	HOXA5	homeobox A5 
ENSG00000106006	43.6820527710492	5.90118884009564	2.0810968152167	2.83561475705836	0.00457375799902994	0.0222816183601391	0	0	0	0	13	0	0	8	553	43	2	58	0	0	HOXA6	homeobox A6 
ENSG00000106031	39.0951756518535	5.88580809776682	1.69399605346437	3.47451110392484	0.000511785181532987	0.00405491336137674	0	0	0	2	4	0	4	54	25	2	13	416	0	0	HOXA13	homeobox A13 
ENSG00000108691	279.614249479649	5.48515026097357	1.70226877940768	3.22225862761941	0.00127184275658959	0.00826124889640627	0	3	0	48	40	0	12	485	6	16	0	193	3092	2	CCL2	C-C motif chemokine ligand 2 
ENSG00000110852	11.6756293303564	4.71544673480128	1.41160586974127	3.34048393810204	0.00083632518150906	0.00596084353326066	0	0	0	1	1	0	4	26	2	6	0	2	32	49	CLEC2B	C-type lectin domain family 2 member B 
ENSG00000112246	2.81939278615549	3.1435461523284	1.25082294603916	2.5131823510935	0.011964747243119	0.0473988063862024	0	0	0	0	20	0	1	7	3	516	1	3	1	6	SIM1	SIM bHLH transcription factor 1 
ENSG00000112333	4.61746581592435	4.70696548214314	1.41053662813649	3.33700337038512	0.00084686921201999	0.00596084353326066	1	1	0	0	0	0	0	10	1	10	1	24	6	0	NR2E1	nuclear receptor subfamily 2 group E member 1 
ENSG00000114948	22.5239547126331	5.81685414342716	1.93371022513077	3.00813124315656	0.00262859592753068	0.0143577095738608	0	1	0	0	0	3	1	75	0	1	0	103	0	8	ADAM23	ADAM metallopeptidase domain 23 
ENSG00000115232	11.0885057858782	3.12510925172463	1.24997240023245	2.50014260406347	0.0124143323288462	0.0489111126180225	1	0	4	2	10	1	0	12	12	17	0	17	0	64	ITGA4	integrin subunit alpha 4 
ENSG00000115604	10.365640907667	4.73169048809597	1.3772989771286	3.43548537149184	0.00059149339586879	0.0044891235623305	0	0	1	0	0	0	4	9	14	4	0	84	24	10	IL18R1	interleukin 18 receptor 1 
ENSG00000117507	27.408277858668	5.89528173741134	1.41613809430068	4.16292857394148	3.14191672768844e-05	0.000435638838589108	0	2	0	1	0	2	1	0	14	192	9	75	210	0	FMO6P	flavin containing dimethylaniline monoxygenase 6, pseudogene 
ENSG00000118473	31.2540789059145	6.17393016654605	1.42073801585182	4.34557961964888	1.38908373930407e-05	0.000234217562321004	0	0	4	1	0	0	1	21	2	104	317	8	2	2	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1 
ENSG00000118849	412.760693045176	4.65929180466425	1.1224810261183	4.15088691590336	3.31189380857056e-05	0.000450542535090448	2	7	7	24	228	5	4	21	3887	474	954	65	977	34	RARRES1	retinoic acid receptor responder 1 
ENSG00000118855	4.80065909715069	5.69524053115276	1.57218039511785	3.62251084470866	0.000291757225200194	0.00266494693094158	0	0	0	0	0	0	0	0	53	4	9	2	8	1	MFSD1	major facilitator superfamily domain containing 1 
ENSG00000122592	120.183614409477	6.80216194050324	1.93748809412609	3.5108148334565	0.000446735457890997	0.00383472374038917	0	0	0	0	11	0	6	46	930	379	0	505	1	0	HOXA7	homeobox A7 
ENSG00000123576	6.9675501768601	6.21957926040545	1.87179352271084	3.32279131482295	0.000891215599796782	0.0061196804519379	0	0	0	0	0	0	0	7	0	3	0	45	50	1	ESX1	ESX homeobox 1 
ENSG00000123610	12.0347508962638	6.99712531843997	1.37155639655983	5.10159504632135	3.36802803178754e-07	1.21417410545941e-05	0	0	0	0	0	0	0	20	1	8	12	6	30	63	TNFAIP6	TNF alpha induced protein 6 
ENSG00000123700	4.70123167338546	5.66429044958458	1.76858938657242	3.20271652232525	0.00136137916999425	0.00867172071994673	0	0	0	0	0	0	0	0	0	40	32	4	2	3	KCNJ2	potassium voltage-gated channel subfamily J member 2 
ENSG00000124019	4.34536372402603	5.54602127270163	1.41819876592208	3.91060929255267	9.20635905963193e-05	0.00112504828508383	0	0	0	0	0	0	0	2	31	4	0	10	16	4	FAM124B	family with sequence similarity 124 member B 
ENSG00000125845	73.2686056070015	4.80445058969017	1.32367579878799	3.62962788478062	0.000283830087971877	0.00265768173282757	0	0	2	2	16	12	6	20	195	33	1	330	0	430	BMP2	bone morphogenetic protein 2 
ENSG00000126785	6.87757012932595	6.17089594718941	1.60062170495501	3.85531192541392	0.000115582160703125	0.00134410867527343	0	0	0	0	0	0	0	22	0	18	7	12	4	1	RHOJ	ras homolog family member J 
ENSG00000128713	14.4114950655301	6.83928485291168	2.13160039311288	3.20852110696223	0.00133419515772547	0.00858888132785774	1	0	0	0	0	0	0	51	1	13	0	53	0	0	HOXD11	homeobox D11 
ENSG00000128714	90.3523501805474	9.50347280200418	2.21087284704193	4.29851622390654	1.71945316909516e-05	0.000269505594547306	0	0	0	0	0	0	1	241	22	517	0	213	0	0	HOXD13	homeobox D13 
ENSG00000129514	1.27850542397422	-3.28664372743174	1.26989542298551	-2.58812156335273	0.00965009180774186	0.0405541568819134	3	2	5	0	2	2	2	0	0	1	0	0	0	0	FOXA1	forkhead box A1 
ENSG00000130234	20.2251574175638	4.51046568934274	1.68379437199755	2.678750899964	0.00738973459380863	0.0335094254222391	0	0	1	0	14	0	0	0	72	102	126	13	12	0	ACE2	angiotensin I converting enzyme 2 
ENSG00000130988	34.8413503894362	3.59605074718596	0.958447174766285	3.75195508094939	0.00017546090677273	0.0018881688624349	7	2	5	8	2	4	8	28	206	11	165	31	2	2	RGN	regucalcin 
ENSG00000132975	159.064309073944	10.7339097555911	2.11380409120144	5.07800595157812	3.81416750645087e-07	1.30953084388147e-05	0	0	0	0	0	0	0	0	1018	617	1	618	0	323	GPR12	G protein-coupled receptor 12 
ENSG00000134061	19.4184389548465	7.28473118117693	1.64153688123174	4.43775054003708	9.09038840591765e-06	0.000182060278907406	0	0	0	0	0	0	1	0	121	119	47	18	0	17	CD180	CD180 molecule 
ENSG00000134873	38.9029140009243	8.27934465376928	1.42077616580169	5.8273392058893	5.63180683819599e-09	4.06053273033931e-07	1	0	0	0	0	0	0	118	44	183	6	10	15	8	CLDN10	claudin 10 
ENSG00000134874	8.79578263025231	6.57169629075046	1.20573074517125	5.45038460458024	5.0261006429288e-08	2.41587904236778e-06	0	0	0	0	0	0	0	1	40	53	6	10	32	8	DZIP1	DAZ interacting zinc finger protein 1 
ENSG00000135903	62.2803543335001	7.60838554089385	2.04531382532084	3.71991107022432	0.000199292937812347	0.00207510229040452	1	0	0	0	0	3	0	131	0	441	0	31	0	137	PAX3	paired box 3 
ENSG00000137033	2.63447100479774	4.34594027331993	1.53174626851971	2.83724554297094	0.00455046020305701	0.0222816183601391	0	0	0	0	1	0	0	4	5	7	15	2	0	0	IL33	interleukin 33 
ENSG00000137809	13.9137572737586	5.33237130949447	1.26128857809057	4.22771711575079	2.36074335250537e-05	0.000333744305324779	0	0	0	0	3	1	1	31	8	52	22	42	1	1	ITGA11	integrin subunit alpha 11 
ENSG00000138131	83.1912465252064	4.24912229546666	1.47601326361475	2.87878327397993	0.00399212574310285	0.0199883518109524	11	22	15	0	2	0	1	4	166	1	55	83	0	778	LOXL4	lysyl oxidase like 4 
ENSG00000140459	41.0975682075245	6.27085635474718	1.65884507671766	3.78025437261161	0.000156668213174327	0.00173781202613369	0	0	0	5	4	0	0	41	415	6	78	3	2	0	CYP11A1	cytochrome P450 family 11 subfamily A member 1 
ENSG00000140557	57.8287182635679	9.2726450522075	1.7767891523364	5.21876500653688	1.80120120270979e-07	7.21481148418754e-06	0	0	0	0	0	0	0	109	0	108	1	435	26	33	ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 
ENSG00000143028	8.51394912369106	4.32327844566972	1.25415099417565	3.44717539255422	0.000566480692210031	0.00439174816218745	1	0	0	96	1	0	0	28	8	18	1	5	3	6	SYPL2	synaptophysin like 2 
ENSG00000144642	26.6501762774884	8.15622387517719	2.03093787249036	4.01598886192217	5.91970514844438e-05	0.000761996243031563	0	0	0	0	0	0	0	10	0	4	0	14	30	290	RBMS3	RNA binding motif single stranded interacting protein 3 
ENSG00000146070	15.5739242759618	3.73418061229532	1.34317829764922	2.78010791183176	0.0054340837393549	0.0256076756606201	1	1	2	0	0	10	0	6	19	0	122	63	3	4	PLA2G7	phospholipase A2 group VII 
ENSG00000146373	14.025012974202	3.2053222876145	1.15959276854342	2.76417926583033	0.00570661782170399	0.0263748169836447	0	0	0	2	21	0	1	9	21	11	98	7	20	16	RNF217	ring finger protein 217 
ENSG00000146374	9.58497592174018	5.82557080859515	1.63033114017244	3.57324390428989	0.000352586063005344	0.00310017745642504	0	1	1	0	0	0	0	11	1	1	0	12	1	83	RSPO3	R-spondin 3 
ENSG00000146477	23.8486425919797	7.9962391321047	2.42528092315693	3.2970362549573	0.000977108874424264	0.00647593596941529	0	0	0	0	0	0	0	15	0	2	0	338	0	6	SLC22A3	solute carrier family 22 member 3 
ENSG00000147381	232.831371013543	10.8706005099885	1.94694855290704	5.58340408828845	2.35855873082384e-08	1.21465774637428e-06	0	0	1	0	0	0	0	356	0	22	352	404	2148	0	MAGEA4	MAGE family member A4 
ENSG00000148704	14.1190910710404	7.2405086676788	1.60794124365044	4.50296843635964	6.70108392978295e-06	0.000146408530708288	0	0	0	0	0	0	0	8	21	6	4	150	0	21	VAX1	ventral anterior homeobox 1 
ENSG00000149633	7.44274166734263	6.32044885707099	1.72565106392858	3.66264593647454	0.000249623455926782	0.00242674331700037	0	0	0	0	0	0	0	0	34	14	5	0	8	50	KIAA1755	KIAA1755 
ENSG00000151789	14.9337981351612	5.27039265796551	1.51500433735281	3.47879707537639	0.000503669827564901	0.00405491336137674	0	0	1	0	0	4	0	0	91	41	2	4220	1	74	ZNF385D	zinc finger protein 385D 
ENSG00000157152	71.1953554857114	5.07116540122552	1.17085616171243	4.33116002379721	1.48325831538129e-05	0.00023765094341998	3	0	2	3	0	18	1	10	147	76	474	19	2	292	SYN2	synapsin II 
ENSG00000161798	164.078070624801	9.27795331497176	1.48555452525694	6.24544784942649	4.2258751684569e-10	1.01561866548581e-07	0	0	1	1	2	0	0	0	612	1137	56	147	4	695	AQP5	aquaporin 5 
ENSG00000162367	24.5782667334791	7.62140087746342	1.47486663970328	5.16751865714228	2.37222293077195e-07	9.00196175308725e-06	0	0	0	0	1	0	0	37	16	12	24	2	260	1	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor 
ENSG00000163376	11.0551614489528	3.37446170711207	1.13456467501761	2.97423477164022	0.00293720254016898	0.0156868372700877	0	0	0	0	9	5	1	5	87	9	2	18	16	13	KBTBD8	kelch repeat and BTB domain containing 8 
ENSG00000163661	182.811557165447	7.99715155104323	1.16532358554809	6.86260164148476	6.76175941372783e-12	2.43761426864888e-09	0	0	0	0	7	4	0	220	826	1115	65	134	127	96	PTX3	pentraxin 3 
ENSG00000163735	45.3124908062967	7.3678843242852	1.81401238160473	4.06165051517858	4.87269861325565e-05	0.000638766490937695	1	0	1	0	2	0	0	57	0	5	1	13	618	0	CXCL5	C-X-C motif chemokine ligand 5 
ENSG00000164484	5.97483758027612	5.97683606820943	1.82150161196176	3.28126861319238	0.00103341276388071	0.00677355093416359	0	0	0	0	0	0	0	16	0	3	0	4	8	25	TMEM200A	transmembrane protein 200A 
ENSG00000165795	109.209382954811	3.32868584404321	0.861383790185552	3.86434697514585	0.000111386793228912	0.00131655537570567	35	27	26	5	7	6	18	29	746	216	30	466	58	18	NDRG2	NDRG family member 2 
ENSG00000166770	3.54270562356606	4.79073750090547	1.8549307539968	2.58270422795187	0.00980293232820188	0.0406370343532929	0	0	0	0	0	1	0	5	0	0	2	16	26	0	ZNF667-AS1	ZNF667 antisense RNA 1 (head to head) 
ENSG00000167580	4.48269235931357	5.15697830748215	1.47230724864888	3.50265089859107	0.000460652774569465	0.00386198430772773	1	0	0	0	0	0	0	0	28	13	5	14	0	10	AQP2	aquaporin 2 
ENSG00000170608	63.8488258577149	-3.81383067175571	1.47408590518653	-2.58725129813456	0.00967450067085867	0.0405541568819134	3	1	0	3	937	108	2	0	2	47	4	16	2	4	FOXA3	forkhead box A3 
ENSG00000174697	5.68859171433226	5.0540689673807	1.65175840144921	3.05981126716013	0.00221476510381294	0.0124753565613213	0	1	0	0	0	1	0	7	5	0	3	59	1	0	LEP	leptin 
ENSG00000174807	29.6090773299639	7.46989527894061	1.64481193347578	4.54148898540357	5.5858304822911e-06	0.000134246125924396	0	0	1	0	1	0	0	102	77	1	48	4	7	0	CD248	CD248 molecule 
ENSG00000178343	9.00497994130306	6.58303072660439	1.75387490196356	3.75342090774793	0.000174437588089262	0.0018881688624349	0	0	0	0	0	0	0	15	0	9	0	46	10	29	SHISA3	shisa family member 3 
ENSG00000178934	2.49288554511561	3.49129980777933	1.31163935598512	2.66178335671939	0.00777278879313421	0.034808575899688	0	0	0	0	379	0	0	0	13	6	11	2	70	2	LGALS7B	galectin 7B 
ENSG00000179636	20.1032002508754	6.01308392998033	1.27894535442274	4.70159566175864	2.58136278000522e-06	7.007175947147e-05	2	0	2	0	0	0	0	25	76	17	3	127	17	3	TPPP2	tubulin polymerization promoting protein family member 2 
ENSG00000182103	15.7550644368408	5.67268629155475	1.41397748244083	4.01186465979817	6.02410344699016e-05	0.000761996243031563	0	0	0	1	4	0	0	0	164	8	11	16	10	31	FAM181B	family with sequence similarity 181 member B 
ENSG00000182253	37.5915614692853	3.07256142476347	1.00287692651825	3.06374724905743	0.00218583497419807	0.0124753565613213	15	13	10	5	4	3	1	1	38	137	174	138	0	58	SYNM	synemin 
ENSG00000183571	27.167680222186	4.05839979528179	1.16661169195374	3.47879232076369	0.00050367876342936	0.00405491336137674	0	1	1	2	2	12	3	0	39	103	20	5	305	3	PGPEP1L	pyroglutamyl-peptidase I like 
ENSG00000184500	86.2152334057102	7.10441616107714	1.32958796362589	5.3433216571116	9.12586134914475e-08	3.87043884278433e-06	1	0	0	0	4	0	4	78	726	36	4	125	2	176	PROS1	protein S 
ENSG00000185554	11.1646877262375	6.47213098367536	2.32516120703632	2.78351925195106	0.00537726711288233	0.0255066420288695	0	0	1	0	0	0	0	34	0	0	0	24	52	0	NA	NA
ENSG00000185945	58.7783690011812	23.6724455226871	2.78834681955031	8.48977801352016	2.07032176092606e-17	1.49270198962769e-14	0	0	0	0	0	0	0	85	0	0	0	370	369	0	NA	NA
ENSG00000186530	8.86588025542751	6.15381251992498	1.32250975460126	4.65313204572951	3.26930738128054e-06	8.4184665067974e-05	0	0	0	0	1	0	0	2	0	21	29	41	11	32	NA	NA
ENSG00000186652	2.00301117465597	4.37504692760317	1.69562088689264	2.58020348854087	0.00987421119203881	0.0406370343532929	0	0	0	0	0	0	0	4	11	0	0	2	4	2	PRG2	proteoglycan 2, pro eosinophil major basic protein 
ENSG00000186847	37.0856456030483	7.43389578940133	1.69613847808708	4.38283541434974	1.17144612423922e-05	0.000216567347583713	0	0	0	2	1	0	0	0	176	0	140	257	13	8	KRT14	keratin 14 
ENSG00000186867	4.38276873759105	5.55700456722907	1.8635449567659	2.98195358639107	0.00286415417092165	0.0154108593823471	0	0	0	0	0	0	0	2	1	0	22	0	45	870	QRFPR	pyroglutamylated RFamide peptide receptor 
ENSG00000188859	117.303654971623	4.33442571438336	1.42761132418953	3.03613850698758	0.00239629258598456	0.0132902073422682	2	2	9	5	1	52	2	10	1495	237	1	7	17	0	FAM78B	family with sequence similarity 78 member B 
ENSG00000189316	19.1144673536734	3.24665377005542	1.02223934707657	3.17602113373966	0.00149310073383195	0.00904643385792302	0	1	0	14	4	8	1	6	81	110	11	64	9	2	AC073349.1	uncharacterized LOC441239 
ENSG00000197415	74.9474717781647	8.4503745286977	1.38829874437437	6.08685599042721	1.15149455103904e-09	1.33101721633818e-07	0	0	0	1	2	0	0	241	159	203	8	39	16	15	VEPH1	ventricular zone expressed PH domain containing 1 
ENSG00000197576	14.2051608886563	6.41320371018849	1.87039767205978	3.4287915377514	0.000606275002770085	0.00455337788538782	0	0	0	0	2	0	0	9	168	4	2	19	0	0	HOXA4	homeobox A4 
ENSG00000197632	18.5721971706147	5.03908922265158	1.37140056293276	3.67441093350247	0.000238398785138391	0.00238729894562194	0	0	0	4	4	1	0	2	5047	1	1	215	14	45	SERPINB2	serpin family B member 2 
ENSG00000198039	19.4789417624908	3.79127716688158	1.33480506461434	2.84032273130232	0.00450679134039171	0.0222561407974139	0	0	0	10	2	8	0	0	89	127	18	69	5	4	ZNF273	zinc finger protein 273 
ENSG00000198053	43.2490827166415	4.10119672636843	0.912536619443827	4.4942818063214	6.9805136363554e-06	0.000148027950935654	0	0	0	12	8	5	11	6	125	112	129	73	26	156	SIRPA	signal regulatory protein alpha 
ENSG00000198250	5.57088628684849	4.61079874669788	1.55881406443705	2.95788885402637	0.00309753789230042	0.016421506031975	0	0	1	1	0	0	1	0	44	0	14	10	20	0	NA	NA
ENSG00000198542	25.6268038859669	6.43981208837361	1.65834553946394	3.88327518911123	0.000103058817092402	0.00123842345206036	0	0	0	1	0	0	3	1	259	7	31	102	1	0	ITGBL1	integrin subunit beta like 1 
ENSG00000198643	16.4517848510965	3.01596420284404	0.993137834391939	3.03680324966232	0.00239101467109867	0.0132902073422682	1	8	1	7	2	4	2	0	76	2091	6	46	107	1	FAM3D	family with sequence similarity 3 member D 
ENSG00000198771	320.241554530063	8.88392953177319	1.51204409303979	5.87544342963773	4.21712963327604e-09	3.80068808199003e-07	0	0	1	5	0	1	3	45	2677	2	225	2	2367	2	RCSD1	RCSD domain containing 1 
ENSG00000205325	22.4253599586432	6.2582752247203	1.43638363908378	4.35696638031345	1.31877515015819e-05	0.000231911434942453	0	1	1	0	1	1	0	0	128	69	0	35	153	3	AC005863.1	novel transcript
ENSG00000206249	28.9670181797575	7.44560157933074	1.71514491316048	4.34109183556437	1.4177644713484e-05	0.000234217562321004	0	2	0	0	0	0	0	0	178	177	12	0	99	29	AL359555.1	novel transcript
ENSG00000206432	53.9968795388708	9.17598308478943	1.71416021681078	5.35304867934777	8.64845704920678e-08	3.87043884278433e-06	0	0	0	0	0	0	0	5	197	11	0	515	152	13	TMEM200C	transmembrane protein 200C 
ENSG00000213023	4.48873957941859	3.9820354566178	1.53817189194092	2.58881044276081	0.0096308093286076	0.0405541568819134	0	0	0	3	0	0	1	2	24	11	25	2	0	0	SYT3	synaptotagmin 3 
ENSG00000213406	3.01915317102913	4.07234786799158	1.55464370708456	2.61947341981559	0.00880656354222507	0.0384820140239047	0	2	0	0	0	0	0	5	4	3	9	14	0	0	ANXA2P1	annexin A2 pseudogene 1 
ENSG00000214491	5.26867517383723	4.54324700293127	1.75255256440265	2.5923599070364	0.0095319994254637	0.0405541568819134	0	0	1	0	1	0	1	0	0	75	1	17	0	1	SEC14L6	SEC14 like lipid binding 6 
ENSG00000214842	1.37833743369676	3.91547152602637	1.57144166782927	2.4916429328459	0.0127153794480114	0.0498249379457403	0	0	0	0	0	0	0	0	10	3	0	2	3	4	RAD51AP2	RAD51 associated protein 2 
ENSG00000215386	34.497331593938	3.93748224012007	1.13844874026218	3.45863814580997	0.000542913771189152	0.00425479161986281	2	0	2	0	24	6	0	4	55	223	155	18	100	3	MIR99AHG	mir-99a-let-7c cluster host gene 
ENSG00000224853	10.5935854912293	6.83156149012561	1.5424318715902	4.42908475632215	9.46338299754515e-06	0.00018440808489811	0	0	0	0	0	0	0	0	86	28	8	45	2	4	LINC00393	long intergenic non-protein coding RNA 393 
ENSG00000225156	9.85219089335227	3.82883447388411	1.30160103884598	2.94163446372078	0.0032648506437984	0.0168657887887875	0	5	0	3	1	0	0	0	25	37	1	22	79	2	AC012354.1	novel transcript
ENSG00000225968	15.1369409720038	6.92210191351848	1.9739776750488	3.50667689965002	0.00045373972675493	0.00384878050576829	0	0	0	0	0	0	1	3	198	0	25	1	0	1	ELFN1	extracellular leucine rich repeat and fibronectin type III domain containing 1 
ENSG00000226329	13.9521056156278	7.22651504546151	1.44852677490868	4.98887226017421	6.07327876257761e-07	1.93326394996919e-05	0	0	0	0	0	0	0	3	121	22	1	2	55	18	AC005682.1	solute carrier family 40 (iron-regulated transporter), member 1 (SLC40A1) pseudogene
ENSG00000227019	11.6857377500405	6.96839554581203	2.69139211630901	2.58914169495619	0.00962154945744078	0.0405541568819134	0	0	0	0	0	0	0	0	115	0	0	71	1	0	OR7E101P	olfactory receptor family 7 subfamily E member 101 pseudogene 
ENSG00000228340	19.4077127198613	7.70105992893388	1.70759298617254	4.50989198907131	6.48606411763267e-06	0.000146139132150411	0	0	0	0	0	0	0	0	207	5	4	50	2	33	MIR646HG	MIR646 host gene 
ENSG00000229162	7.16757799178221	6.26005454737691	1.37417715633793	4.55549309527125	5.22628324667329e-06	0.000129936214512119	0	0	0	0	0	0	0	5	61	10	11	2	1	11	AL445471.1	novel transcript
ENSG00000229967	9.12199445506596	6.59761398293845	1.82595380559367	3.61324254903228	0.000302391590932275	0.00272530421327712	0	0	0	0	0	0	0	23	0	2	14	18	45	0	MAGEA4-AS1	MAGEA4 antisense RNA 1 
ENSG00000230928	29.0777078267869	4.63203956421033	1.47437434700292	3.14169842525153	0.001679709488605	0.00992680771544428	1	9	2	0	1	0	1	2	89	0	14	39	0	245	AL139241.1	novel transcript
ENSG00000231106	32.2236614190043	8.43137837676781	1.97561018777091	4.26773380141402	1.97468765902449e-05	0.00029661454211597	0	0	0	0	0	0	0	0	293	125	1	47	0	53	LINC01436	long intergenic non-protein coding RNA 1436 
ENSG00000231817	78.5302051535072	9.71630899846628	1.57899491898639	6.15347705153069	7.58023497782312e-10	1.33101721633818e-07	0	0	0	0	0	0	0	0	499	31	146	300	319	12	LINC01198	long intergenic non-protein coding RNA 1198 
ENSG00000231826	10.4764686675881	6.39115357499199	1.36032743405295	4.69824647728394	2.62404647119236e-06	7.007175947147e-05	0	0	0	1	0	0	0	3	2303	2	60	7	3	63	LINC01819	long intergenic non-protein coding RNA 1819 
ENSG00000233332	2.92778065373339	4.99564002810635	1.43767889755203	3.47479540571442	0.000511243112881684	0.00405491336137674	0	0	0	0	0	0	0	0	24	10	1	3	9	2	AL122008.3	novel transcript
ENSG00000233429	15.432500516244	7.36856860300682	1.55154367403664	4.74918542501357	2.04237617825117e-06	5.89021289807636e-05	0	0	0	0	0	0	0	9	176	15	4	18	2	1	HOTAIRM1	HOXA transcript antisense RNA, myeloid-specific 1 
ENSG00000234899	37.0231925229995	8.21683784670543	1.41939176201242	5.78898516013337	7.08129529958185e-09	4.49928461262431e-07	0	0	0	0	0	0	1	2	115	1	94	130	10	195	SOX9-AS1	SOX9 antisense RNA 1 
ENSG00000236081	121.606497586555	4.58628818038465	1.44015787360014	3.18457320857451	0.00144967637370336	0.00893347577299251	12	16	1	4	3	4	21	0	1499	1	298	1	2	16	ELFN1-AS1	ELFN1 antisense RNA 1 
ENSG00000236548	13.7013252777514	3.32806279867064	1.00957893178198	3.29648598430672	0.000979024993989274	0.00647593596941529	0	0	0	3	16	1	1	6	31	24	78	4	38	11	RNF217-AS1	RNF217 antisense RNA 1 (head to head) 
ENSG00000240990	84.0187863927202	6.22082550779814	1.96191071660605	3.17079949415827	0.00152020033929693	0.0091338703719424	0	0	0	0	2	0	13	70	691	2	22	380	0	0	HOXA11-AS	HOXA11 antisense RNA 
ENSG00000241666	20.0192807097631	7.74472049450242	2.34819032312238	3.29816557807984	0.000973187285163162	0.00647593596941529	0	0	0	0	0	0	0	1	226	0	11	0	88	0	AL031733.2	novel transcript
ENSG00000241732	7.75301871185297	6.37215990428175	1.81501758394989	3.5107978901309	0.000446763930919126	0.00383472374038917	0	0	0	0	0	0	0	8	0	45	0	28	1	27	NA	NA
